2024-10-11 18:31:04,551 - CUDA is available! Using GPU: NVIDIA GeForce RTX 4060 Laptop GPU
2024-10-11 18:31:09,844 - Step 1: Action: sell, Net Worth: 10000.0, Balance: 10000, Crypto Held: 0.0
2024-10-11 18:31:09,851 - Step 2: Action: hold, Net Worth: 10000.0, Balance: 10000, Crypto Held: 0.0
2024-10-11 18:31:09,851 - Step 3: Action: hold, Net Worth: 10000.0, Balance: 10000, Crypto Held: 0.0
2024-10-11 18:31:09,851 - Step 4: Action: hold, Net Worth: 10000.0, Balance: 10000, Crypto Held: 0.0
2024-10-11 18:31:09,851 - Step 5: Action: buy, Net Worth: 9999.9, Balance: 9900, Crypto Held: 0.041474137823666414
2024-10-11 18:31:09,861 - Step 6: Action: buy, Net Worth: 9999.815345430994, Balance: 9800, Crypto Held: 0.08294190586982474
2024-10-11 18:31:09,861 - Step 7: Action: hold, Net Worth: 9999.78631576394, Balance: 9800, Crypto Held: 0.08294190586982474
2024-10-11 18:31:09,861 - Step 8: Action: hold, Net Worth: 9999.758944935003, Balance: 9800, Crypto Held: 0.08294190586982474
2024-10-11 18:31:09,861 - Step 9: Action: sell, Net Worth: 9999.438211902681, Balance: 9999.438211902681, Crypto Held: 0.0
2024-10-11 18:31:09,861 - Step 10: Action: buy, Net Worth: 9999.338211902681, Balance: 9899.438211902681, Crypto Held: 0.04152033415764427
2024-10-11 18:31:09,861 - Step 11: Action: sell, Net Worth: 9999.223379529705, Balance: 9999.223379529705, Crypto Held: 0.0
2024-10-11 18:31:09,861 - Step 12: Action: sell, Net Worth: 9999.223379529705, Balance: 9999.223379529705, Crypto Held: 0.0
2024-10-11 18:31:09,861 - Step 13: Action: buy, Net Worth: 9999.123379529705, Balance: 9899.223379529705, Crypto Held: 0.04152620224382823
2024-10-11 18:31:09,861 - Step 14: Action: buy, Net Worth: 9999.027116887908, Balance: 9799.223379529705, Crypto Held: 0.08305085100931164
